tweet_id,created_at,name,full_text,dog_types,dog_breed,retweet_count,favorite_count,rating_numerator,rating_denominator,breed_confidence
892177421306343426,2017-08-01 00:17:27+00:00,Tilly,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",,Chihuahua,6514,33819,13.0,10.0,0.323581
891815181378084864,2017-07-31 00:18:03+00:00,Archie,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,,Chihuahua,4328,25461,12.0,10.0,0.716012
891327558926688256,2017-07-29 16:00:24+00:00,Franklin,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",,Basset,9774,41048,12.0,10.0,0.555712
890971913173991426,2017-07-28 16:27:12+00:00,Jax,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",,Appenzeller,2158,12041,13.0,10.0,0.341703
890609185150312448,2017-07-27 16:25:51+00:00,Zoey,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,,Irish Terrier,4429,28226,13.0,10.0,0.4875739999999999
890240255349198849,2017-07-26 15:59:51+00:00,Cassie,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,doggo,Pembroke,7711,32467,14.0,10.0,0.511319
890006608113172480,2017-07-26 00:31:25+00:00,Koda,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,,Samoyed,7624,31166,13.0,10.0,0.957979
889880896479866881,2017-07-25 16:11:53+00:00,Bruno,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,,French Bulldog,5156,28268,13.0,10.0,0.377417
889638837579907072,2017-07-25 00:10:02+00:00,Ted,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,,French Bulldog,4735,27672,12.0,10.0,0.99165
889531135344209921,2017-07-24 17:02:04+00:00,Stuart,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,puppo,Golden Retriever,2321,15359,13.0,10.0,0.953442
889278841981685760,2017-07-24 00:19:32+00:00,Oliver,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,,Whippet,5637,25652,13.0,10.0,0.626152
888917238123831296,2017-07-23 00:22:39+00:00,Jim,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,,Golden Retriever,4709,29611,12.0,10.0,0.714719
888804989199671297,2017-07-22 16:56:37+00:00,Zeke,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,,Golden Retriever,4559,26080,13.0,10.0,0.46976
888554962724278272,2017-07-22 00:23:06+00:00,Ralphus,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,,Siberian Husky,3732,20290,13.0,10.0,0.700377
888078434458587136,2017-07-20 16:49:33+00:00,Gerald,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,,French Bulldog,3653,22201,12.0,10.0,0.995026
887705289381826560,2017-07-19 16:06:48+00:00,Jeffrey,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,,Basset,5609,30779,13.0,10.0,0.821664
887473957103951883,2017-07-19 00:47:34+00:00,Canela,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,,Pembroke,18781,69871,13.0,10.0,0.809197
886983233522544640,2017-07-17 16:17:36+00:00,Maya,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,,Chihuahua,8084,35859,13.0,10.0,0.793469
886736880519319552,2017-07-16 23:58:41+00:00,Mingus,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",,Kuvasz,3443,12306,13.0,10.0,0.309706
886366144734445568,2017-07-15 23:25:31+00:00,Roscoe,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,pupper,French Bulldog,3316,21524,12.0,10.0,0.999201
886258384151887873,2017-07-15 16:17:19+00:00,Waffles,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,,Pug,6523,28469,13.0,10.0,0.943575
885984800019947520,2017-07-14 22:10:11+00:00,Jimbo,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,,Blenheim Spaniel,7097,33382,12.0,10.0,0.972494
885528943205470208,2017-07-13 15:58:47+00:00,Maisey,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,,Pug,6683,36689,13.0,10.0,0.369275
884925521741709313,2017-07-12 00:01:00+00:00,Earl,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",,Italian Greyhound,16439,68152,12.0,10.0,0.259916
884876753390489601,2017-07-11 20:47:12+00:00,Lola,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,,Chow,6096,28514,13.0,10.0,0.822103
884562892145688576,2017-07-11 00:00:02+00:00,Kevin,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,,Pug,5100,24765,13.0,10.0,0.5464060000000001
884162670584377345,2017-07-09 21:29:42+00:00,Yogi,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,doggo,German Shepherd,3128,20771,12.0,10.0,0.707046
883838122936631299,2017-07-09 00:00:04+00:00,Noah,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,,Doberman,3586,22349,12.0,10.0,0.610946
883482846933004288,2017-07-08 00:28:19+00:00,Bella,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",,Golden Retriever,10407,46860,5.0,10.0,0.943082
883360690899218434,2017-07-07 16:22:55+00:00,Grizzwald,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,floofer,Chow,3825,22986,13.0,10.0,0.987997
882992080364220416,2017-07-06 15:58:11+00:00,Rusty,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj,,Eskimo Dog,4122,24445,13.0,10.0,0.4667779999999999
882762694511734784,2017-07-06 00:46:41+00:00,Gus,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,pupper,Labrador Retriever,5134,28903,12.0,10.0,0.85005
882627270321602560,2017-07-05 15:48:34+00:00,Stanley,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,,Pembroke,6342,28382,13.0,10.0,0.542982
882268110199369728,2017-07-04 16:01:23+00:00,Alfy,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,,Golden Retriever,12118,45880,13.0,10.0,0.762211
881906580714921986,2017-07-03 16:04:48+00:00,Rey,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable https://t.co/503CgWbhxQ,,Weimaraner,3533,24773,12.0,10.0,0.291539
881666595344535552,2017-07-03 00:11:11+00:00,Gary,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,,Saluki,11099,51522,13.0,10.0,0.529012
880465832366813184,2017-06-29 16:39:47+00:00,Bella,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop https://t.co/4VsFysDmiw,,Golden Retriever,6546,29075,12.0,10.0,0.913255
880221127280381952,2017-06-29 00:27:25+00:00,Jesse,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12/10 would snug well https://t.co/fUod0tVmvK,,Chihuahua,4436,27640,12.0,10.0,0.238525
879862464715927552,2017-06-28 00:42:13+00:00,Romeo,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 https://t.co/Qh5aEkRQm9,,Basset,3642,22667,13.0,10.0,0.813507
879492040517615616,2017-06-27 00:10:17+00:00,Bailey,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10 https://t.co/IxM9IMKQq8,,German Short-Haired Pointer,3323,23822,12.0,10.0,0.479896
879415818425184262,2017-06-26 19:07:24+00:00,Duddles,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) https://t.co/UDT7ZkcTgY,,English Springer,45849,107956,13.0,10.0,0.383404
879008229531029506,2017-06-25 16:07:47+00:00,Beau,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs https://t.co/YDtpCjIPKN,,Vizsla,2812,19317,13.0,10.0,0.960513
878776093423087618,2017-06-25 00:45:22+00:00,Snoopy,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth https://t.co/lNZwgNO4gS,puppo,Italian Greyhound,4319,19763,13.0,10.0,0.734684
878281511006478336,2017-06-23 16:00:04+00:00,Shadow,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https://t.co/245xJJElsY https://t.co/lUiQH219v6",,Basset,1349,7913,13.0,10.0,0.32042
878057613040115712,2017-06-23 01:10:23+00:00,Emmy,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://t.co/cwtWnHMVpe,,French Bulldog,7181,42876,14.0,10.0,0.839097
877736472329191424,2017-06-22 03:54:17+00:00,Aja,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again https://t.co/lsPyyAiF1r,,Chesapeake Bay Retriever,17300,71144,13.0,10.0,0.8379559999999999
877556246731214848,2017-06-21 15:58:08+00:00,Penny,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would enjoy more shampoo options https://t.co/OYdDlfOGXP,,Basset,3994,23258,12.0,10.0,0.995368
877316821321428993,2017-06-21 00:06:44+00:00,Dante,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for water resistant good boy https://t.co/SHRTIo5pxc",,Saluki,5414,27907,13.0,10.0,0.5099670000000001
877201837425926144,2017-06-20 16:29:50+00:00,Nelly,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop https://t.co/4g4cfj3P4Y,,Pembroke,5880,27755,12.0,10.0,0.93112
876838120628539392,2017-06-19 16:24:33+00:00,Ginger,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately https://t.co/j211oCDRs6,pupper,Bloodhound,3506,21125,12.0,10.0,0.575751
876484053909872640,2017-06-18 16:57:37+00:00,Benedict,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy https://t.co/26BXueUgbs,,Golden Retriever,2511,19163,13.0,10.0,0.874566
876120275196170240,2017-06-17 16:52:05+00:00,Venti,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches. 13/10 much excite https://t.co/ejExJFq3ek",,Bernese Mountain Dog,4903,28490,13.0,10.0,0.534327
875747767867523072,2017-06-16 16:11:53+00:00,Goose,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl https://t.co/V2WlACRJCN",,Labrador Retriever,4497,25773,13.0,10.0,0.799551
875144289856114688,2017-06-15 00:13:52+00:00,Nugget,Meet Nugget and Hank. Nugget took Hank's bone. Hank is wondering if you would please return it to him. Both 13/10 would not intervene https://t.co/ogith9ejNj,,Siberian Husky,5081,22185,13.0,10.0,0.245048
874680097055178752,2017-06-13 17:29:20+00:00,Cash,Meet Cash. He hath acquired a stick. A very good stick tbh. 12/10 would pat head approvingly https://t.co/lZhtizkURD,,Labrador Retriever,4875,28439,12.0,10.0,0.836052
874296783580663808,2017-06-12 16:06:11+00:00,Jed,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract https://t.co/0YplNnSMEm,pupper,Cocker Spaniel,4308,26651,13.0,10.0,0.437216
874012996292530176,2017-06-11 21:18:31+00:00,Sebastian,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo https://t.co/XBE0evJZ6V",puppo,Cardigan,11007,35501,13.0,10.0,0.806674
873213775632977920,2017-06-09 16:22:42+00:00,Sierra,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https://t.co/Xp01EU3qyD https://t.co/V5lkvrGLdQ",pupper,Vizsla,1667,7467,12.0,10.0,0.6197819999999999
872620804844003328,2017-06-08 01:06:27+00:00,Monkey,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love... https://t.co/lUcpnZDPz9,,Cocker Spaniel,3911,21309,13.0,10.0,0.513191
872261713294495745,2017-06-07 01:19:32+00:00,Harry,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here. 13/10 blessed as h*ck https://t.co/ejHvGDfWoa,,Labrador Retriever,6649,35085,13.0,10.0,0.972019
871879754684805121,2017-06-06 00:01:46+00:00,Lassie,Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner. 13/10 https://t.co/uK6PNyeh9w,,Shetland Sheepdog,11918,39090,13.0,10.0,0.969171
871762521631449091,2017-06-05 16:15:56+00:00,Rover,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10 https://t.co/AiVljI6QCg,pupper,Labrador Retriever,3678,20787,12.0,10.0,0.921393
871515927908634625,2017-06-04 23:56:03+00:00,Napolean,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,doggo,Komondor,3628,20730,12.0,10.0,0.974781
871032628920680449,2017-06-03 15:55:36+00:00,Boomer,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/10 simply breathtaking https://t.co/noNpY2Laoo",,Kelpie,3999,23255,13.0,10.0,0.398053
870656317836468226,2017-06-02 15:00:16+00:00,Cody,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here: https://t.co/4hxnDOt1CV https://t.co/42ryYRQ2Q4",,Pembroke,2817,12819,13.0,10.0,0.945495
870374049280663552,2017-06-01 20:18:38+00:00,Zoey,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental science destroy it. 13/10 https://t.co/T1xlgaPujm,,Golden Retriever,27680,85011,13.0,10.0,0.841001
870308999962521604,2017-06-01 16:00:09+00:00,Rumble,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop without waking https://t.co/MVQCzrF1g9",,Greater Swiss Mountain Dog,4384,22453,13.0,10.0,0.6227520000000001
869772420881756160,2017-05-31 04:27:59+00:00,Dewey,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly https://t.co/HciEaJkC4D",,Pembroke,10663,43710,13.0,10.0,0.980148
